epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,420.03,1.83589,1.77855,0.92168,0,0,0,0,0,0,0,0.00999408,0.00333136,0.00999408,0.00333136,0.00999408,0.00333136,0.00999408,0.00333136
2,965.107,1.625,0.89304,0.82668,0,0,0,0,0,0,0,0.0197961,0.00659871,0.0197961,0.00659871,0.0197961,0.00659871,0.0197961,0.00659871
3,1234.68,1.56173,0.72876,0.82505,0,0,0,0,0,0,0,0.0294002,0.00980007,0.0294002,0.00980007,0.0294002,0.00980007,0.0294002,0.00980007
4,1423.01,1.42464,0.62481,0.81925,0,0,0,0,0,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1879.68,1.27362,0.55547,0.80308,0,0,0,0,0,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2947.04,1.17992,0.51356,0.79452,0,0,0,0,0,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4321.58,1.12054,0.48831,0.78804,0,0,0,0,0,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4577.36,1.086,0.47051,0.78242,0,0,0,0,0,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4743.24,1.0467,0.45793,0.77903,0,0,0,0,0,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4898.22,1.01049,0.44034,0.77632,0,0,0,0,0,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5051.18,0.99656,0.43327,0.77305,0,0,0,0,0,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5380.13,0.97044,0.42242,0.77288,0,0,0,0,0,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5734.15,0.94777,0.41275,0.7693,0,0,0,0,0,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6089.63,0.92028,0.40469,0.76831,0,0,0,0,0,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6447.33,0.91091,0.39859,0.76614,0,0,0,0,0,0,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6807.13,0.90137,0.3925,0.76349,0,0,0,0,0,0,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7164.26,0.8875,0.38733,0.76441,0,0,0,0,0,0,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7526.29,0.87274,0.38151,0.76341,0,0,0,0,0,0,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7918.83,0.8614,0.37777,0.76154,0,0,0,0,0,0,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8300.19,0.84772,0.37265,0.76106,0,0,0,0,0,0,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8663.99,0.84679,0.37114,0.75951,0,0,0,0,0,0,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,9030.27,0.83017,0.36457,0.75826,0,0,0,0,0,0,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9298.22,0.82408,0.36177,0.75905,0,0,0,0,0,0,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9493.93,0.81271,0.35766,0.75696,0,0,0,0,0,0,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,9943.14,0.80958,0.35446,0.75544,0,0,0,0,0,0,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10834.7,0.79916,0.35117,0.75737,0,0,0,0,0,0,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,12133.1,0.78923,0.34709,0.75549,0,0,0,0,0,0,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,12540.5,0.78196,0.34401,0.75647,0,0,0,0,0,0,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,12971.2,0.77683,0.34173,0.75436,0,0,0,0,0,0,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,13401.5,0.77482,0.34021,0.75283,0,0,0,0,0,0,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,13822.2,0.76495,0.33689,0.75337,0,0,0,0,0,0,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,14241.2,0.76089,0.3352,0.7531,0,0,0,0,0,0,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14658.9,0.75209,0.33174,0.75393,0,0,0,0,0,0,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
