epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,346.125,1.7696,1.63,0.92104,0,0,0,0,0,0,0,0.00999441,0.00333147,0.00999441,0.00333147,0.00999441,0.00333147,0.00999441,0.00333147
2,651.407,1.56599,0.85534,0.82486,0,0,0,0,0,0,0,0.0197965,0.00659882,0.0197965,0.00659882,0.0197965,0.00659882,0.0197965,0.00659882
3,938.271,1.50077,0.70605,0.82048,0,0,0,0,0,0,0,0.0294005,0.00980017,0.0294005,0.00980017,0.0294005,0.00980017,0.0294005,0.00980017
4,1224.31,1.3568,0.60605,0.81124,0,0,0,0,0,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1508.79,1.20526,0.53234,0.79862,0,0,0,0,0,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1687.69,1.115,0.4936,0.79078,0,0,0,0,0,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1880.13,1.06324,0.47028,0.78572,0,0,0,0,0,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2071.81,1.02359,0.45059,0.78171,0,0,0,0,0,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2265.77,0.99517,0.4377,0.77702,0,0,0,0,0,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2460.25,0.96685,0.42644,0.77392,0,0,0,0,0,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2649.39,0.94793,0.41716,0.77083,0,0,0,0,0,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2830.43,0.92161,0.40742,0.77134,0,0,0,0,0,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3012.43,0.89721,0.39834,0.76953,0,0,0,0,0,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3185.26,0.887,0.3918,0.76823,0,0,0,0,0,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3355.35,0.87696,0.38663,0.76518,0,0,0,0,0,0,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3525.1,0.8675,0.38229,0.76658,0,0,0,0,0,0,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3689.66,0.85765,0.37756,0.76427,0,0,0,0,0,0,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3874.94,0.84456,0.37324,0.76401,0,0,0,0,0,0,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4049.04,0.83352,0.36867,0.76249,0,0,0,0,0,0,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4223.38,0.8259,0.36379,0.76157,0,0,0,0,0,0,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4398.98,0.81732,0.36057,0.76205,0,0,0,0,0,0,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4583.13,0.80542,0.3559,0.76083,0,0,0,0,0,0,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4773.16,0.80077,0.35422,0.76057,0,0,0,0,0,0,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4984.34,0.79613,0.35067,0.75903,0,0,0,0,0,0,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5224.74,0.78789,0.34946,0.75844,0,0,0,0,0,0,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5459.83,0.78387,0.346,0.75804,0,0,0,0,0,0,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5679.69,0.77428,0.34249,0.7586,0,0,0,0,0,0,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5904.79,0.76902,0.34053,0.7571,0,0,0,0,0,0,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6121.25,0.76499,0.33868,0.75551,0,0,0,0,0,0,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6345.44,0.75862,0.33489,0.75573,0,0,0,0,0,0,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6578.85,0.75421,0.33325,0.75493,0,0,0,0,0,0,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6820.19,0.74817,0.33231,0.7557,0,0,0,0,0,0,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7036.85,0.74795,0.32965,0.75518,0,0,0,0,0,0,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7248.2,0.73801,0.32703,0.75552,0,0,0,0,0,0,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7464.88,0.73034,0.32361,0.75383,0,0,0,0,0,0,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7694.56,0.72803,0.32225,0.75354,0,0,0,0,0,0,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7918.04,0.72589,0.32175,0.75345,0,0,0,0,0,0,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8200.29,0.72073,0.32002,0.75344,0,0,0,0,0,0,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8763.18,0.71853,0.3181,0.7535,0,0,0,0,0,0,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9224.9,0.71005,0.31542,0.7529,0,0,0,0,0,0,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9538.96,0.70881,0.31493,0.75218,0,0,0,0,0,0,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9763.17,0.70246,0.31229,0.75204,0,0,0,0,0,0,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9976.28,0.70239,0.31083,0.75078,0,0,0,0,0,0,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10188.1,0.69756,0.30938,0.75124,0,0,0,0,0,0,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10394.2,0.6994,0.30959,0.75176,0,0,0,0,0,0,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10597.4,0.69512,0.30814,0.75135,0,0,0,0,0,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10802.5,0.68812,0.30633,0.75027,0,0,0,0,0,0,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11008.7,0.68929,0.30525,0.75027,0,0,0,0,0,0,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11215.4,0.68294,0.3031,0.75108,0,0,0,0,0,0,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11423,0.67838,0.3016,0.74931,0,0,0,0,0,0,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11632.3,0.67346,0.29907,0.74956,0,0,0,0,0,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11838.5,0.67752,0.29903,0.74887,0,0,0,0,0,0,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,12041.2,0.67228,0.29753,0.74999,0,0,0,0,0,0,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12242.4,0.66699,0.29599,0.74833,0,0,0,0,0,0,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
