epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,6159.41,0.77245,0.34446,0.75832,0,0,0,0,0,0,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6357.84,0.77362,0.34288,0.75816,0,0,0,0,0,0,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6755.86,0.77399,0.34209,0.75653,0,0,0,0,0,0,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7087.7,0.76349,0.33908,0.7566,0,0,0,0,0,0,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7219.46,0.75379,0.33603,0.75628,0,0,0,0,0,0,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7355.16,0.75081,0.33252,0.75484,0,0,0,0,0,0,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7518,0.75846,0.33572,0.75468,0,0,0,0,0,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7692.26,0.74908,0.33144,0.7557,0,0,0,0,0,0,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7849.24,0.73989,0.32755,0.75562,0,0,0,0,0,0,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8013.34,0.73996,0.32777,0.75445,0,0,0,0,0,0,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8199.66,0.73783,0.32612,0.75447,0,0,0,0,0,0,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8385.26,0.73166,0.32498,0.75426,0,0,0,0,0,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8571.29,0.72538,0.32359,0.7556,0,0,0,0,0,0,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8732.88,0.72775,0.32096,0.7545,0,0,0,0,0,0,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8869.51,0.72225,0.32203,0.75387,0,0,0,0,0,0,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8994.99,0.72246,0.32043,0.7518,0,0,0,0,0,0,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9185.38,0.71274,0.31666,0.75533,0,0,0,0,0,0,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9352.43,0.71058,0.31471,0.75276,0,0,0,0,0,0,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9521.45,0.70549,0.31381,0.75172,0,0,0,0,0,0,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9702.9,0.71122,0.31539,0.7537,0,0,0,0,0,0,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9849.43,0.70672,0.3121,0.75253,0,0,0,0,0,0,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9992.38,0.69973,0.31002,0.75226,0,0,0,0,0,0,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10132,0.6997,0.30938,0.7519,0,0,0,0,0,0,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10271.6,0.69605,0.30747,0.75194,0,0,0,0,0,0,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
