epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,12374.6,0.8919,0.4834,0.87983,0,0,0,0,0,0,0,0.000747016,0.000747016,0.000747016
20,12846.9,0.89756,0.48771,0.88334,0,0,0,0,0,0,0,0.000738017,0.000738017,0.000738017
21,13702.3,0.89844,0.48708,0.8804,0,0,0,0,0,0,0,0.000729018,0.000729018,0.000729018
22,14309,0.88413,0.47653,0.87934,0,0,0,0,0,0,0,0.000720019,0.000720019,0.000720019
23,15161,0.86071,0.46682,0.87767,0,0,0,0,0,0,0,0.00071102,0.00071102,0.00071102
24,15707.1,0.85177,0.46157,0.86764,0,0,0,0,0,0,0,0.000702021,0.000702021,0.000702021
25,16365.8,0.85482,0.46009,0.87553,0,0,0,0,0,0,0,0.000693022,0.000693022,0.000693022
26,16799,0.86024,0.46431,0.87395,0,0,0,0,0,0,0,0.000684022,0.000684022,0.000684022
27,17453.7,0.84118,0.45514,0.86566,0,0,0,0,0,0,0,0.000675023,0.000675023,0.000675023
28,18058.3,0.84305,0.45038,0.86823,0,0,0,0,0,0,0,0.000666024,0.000666024,0.000666024
29,18388.9,0.84176,0.44908,0.86682,0,0,0,0,0,0,0,0.000657025,0.000657025,0.000657025
30,18720.3,0.83216,0.45251,0.86743,0,0,0,0,0,0,0,0.000648026,0.000648026,0.000648026
31,19050.6,0.82463,0.44376,0.86306,0,0,0,0,0,0,0,0.000639027,0.000639027,0.000639027
32,19407.6,0.80554,0.43215,0.85843,0,0,0,0,0,0,0,0.000630028,0.000630028,0.000630028
33,19720.2,0.81199,0.43588,0.86252,0,0,0,0,0,0,0,0.000621029,0.000621029,0.000621029
34,20107,0.79957,0.42959,0.85895,0,0,0,0,0,0,0,0.00061203,0.00061203,0.00061203
35,20533.7,0.8093,0.43181,0.86131,0,0,0,0,0,0,0,0.000603031,0.000603031,0.000603031
36,20882,0.8044,0.43025,0.86032,0,0,0,0,0,0,0,0.000594031,0.000594031,0.000594031
37,21309.5,0.79784,0.42985,0.86276,0,0,0,0,0,0,0,0.000585032,0.000585032,0.000585032
38,21633.4,0.79793,0.42741,0.8593,0,0,0,0,0,0,0,0.000576033,0.000576033,0.000576033
39,22103.3,0.78224,0.41947,0.85324,0,0,0,0,0,0,0,0.000567034,0.000567034,0.000567034
40,22647.6,0.79018,0.42125,0.85691,0,0,0,0,0,0,0,0.000558035,0.000558035,0.000558035
41,22982.4,0.78865,0.42093,0.85734,0,0,0,0,0,0,0,0.000549036,0.000549036,0.000549036
42,23360.6,0.76697,0.40938,0.85324,0,0,0,0,0,0,0,0.000540037,0.000540037,0.000540037
43,23752.5,0.77419,0.40969,0.85543,0,0,0,0,0,0,0,0.000531038,0.000531038,0.000531038
44,24371,0.76822,0.4073,0.85071,0,0,0,0,0,0,0,0.000522039,0.000522039,0.000522039
45,24788.5,0.7543,0.40262,0.84995,0,0,0,0,0,0,0,0.00051304,0.00051304,0.00051304
46,25190.6,0.74838,0.4024,0.84902,0,0,0,0,0,0,0,0.00050404,0.00050404,0.00050404
47,25507.6,0.74992,0.40118,0.84625,0,0,0,0,0,0,0,0.000495041,0.000495041,0.000495041
48,25880.2,0.76986,0.40568,0.84818,0,0,0,0,0,0,0,0.000486042,0.000486042,0.000486042
49,26349.4,0.73841,0.39196,0.84605,0,0,0,0,0,0,0,0.000477043,0.000477043,0.000477043
50,26919.4,0.74727,0.3981,0.8455,0,0,0,0,0,0,0,0.000468044,0.000468044,0.000468044
51,27658.5,0.74618,0.39626,0.84138,0,0,0,0,0,0,0,0.000459045,0.000459045,0.000459045
52,28444.8,0.73665,0.39268,0.84354,0,0,0,0,0,0,0,0.000450046,0.000450046,0.000450046
