epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.085,1.65217,2.68697,1.08057,0,0,0,0,0,0,0,0.000302836,0.000302836,0.000302836
2,623.116,1.29452,1.32344,0.98015,0,0,0,0,0,0,0,0.000599838,0.000599838,0.000599838
3,925.684,1.23921,0.97719,0.96553,0,0,0,0,0,0,0,0.000890841,0.000890841,0.000890841
4,1285.34,1.16284,0.79256,0.94539,0,0,0,0,0,0,0,0.000882003,0.000882003,0.000882003
5,1782.88,1.11704,0.70956,0.93709,0,0,0,0,0,0,0,0.000873004,0.000873004,0.000873004
6,2321.5,1.09602,0.66131,0.92692,0,0,0,0,0,0,0,0.000864004,0.000864004,0.000864004
7,2870.07,1.04671,0.62088,0.91812,0,0,0,0,0,0,0,0.000855005,0.000855005,0.000855005
8,3410.46,1.02386,0.59189,0.91726,0,0,0,0,0,0,0,0.000846006,0.000846006,0.000846006
9,4137.01,1.04138,0.59402,0.91797,0,0,0,0,0,0,0,0.000837007,0.000837007,0.000837007
10,5389.44,0.98729,0.56569,0.90631,0,0,0,0,0,0,0,0.000828008,0.000828008,0.000828008
11,7095.79,0.99646,0.55848,0.90751,0,0,0,0,0,0,0,0.000819009,0.000819009,0.000819009
12,8337,0.98472,0.54068,0.90784,0,0,0,0,0,0,0,0.00081001,0.00081001,0.00081001
13,9236.07,0.95804,0.53117,0.89517,0,0,0,0,0,0,0,0.000801011,0.000801011,0.000801011
14,9807.22,0.98055,0.52729,0.89893,0,0,0,0,0,0,0,0.000792012,0.000792012,0.000792012
15,10124.3,0.93464,0.52126,0.88682,0,0,0,0,0,0,0,0.000783013,0.000783013,0.000783013
16,10616.8,0.92376,0.50902,0.88488,0,0,0,0,0,0,0,0.000774013,0.000774013,0.000774013
17,11288.6,0.9145,0.49663,0.88443,0,0,0,0,0,0,0,0.000765014,0.000765014,0.000765014
18,11965.5,0.92163,0.50067,0.88826,0,0,0,0,0,0,0,0.000756015,0.000756015,0.000756015
