epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,712.941,1.5498,2.15013,1.03911,0,0,0,0,0,0,0,0.00999688,0.00333229,0.00999688,0.00333229,0.00999688,0.00333229,0.00999688,0.00333229
2,2081.69,1.39837,1.07436,0.96712,0,0,0,0,0,0,0,0.0197989,0.00659964,0.0197989,0.00659964,0.0197989,0.00659964,0.0197989,0.00659964
3,3752.92,1.39425,0.85815,0.96538,0,0,0,0,0,0,0,0.0294029,0.00980098,0.0294029,0.00980098,0.0294029,0.00980098,0.0294029,0.00980098
4,5361.69,1.30151,0.72357,0.95443,0,0,0,0,0,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,6934.49,1.18585,0.62776,0.93,0,0,0,0,0,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,8313.93,1.10512,0.58542,0.92216,0,0,0,0,0,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,9223.03,1.056,0.55536,0.91054,0,0,0,0,0,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,10025.5,1.0159,0.53095,0.89864,0,0,0,0,0,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,10693.1,0.98158,0.51383,0.89486,0,0,0,0,0,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,11557,0.9553,0.49947,0.88286,0,0,0,0,0,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12295.9,0.92573,0.4856,0.88015,0,0,0,0,0,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,13008.4,0.89943,0.47053,0.87558,0,0,0,0,0,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,13724.2,0.87212,0.45596,0.86762,0,0,0,0,0,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,14405.8,0.86377,0.45206,0.8669,0,0,0,0,0,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,15089.2,0.8438,0.44278,0.86297,0,0,0,0,0,0,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
