epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5701,2.14435,3.84998,1.24564,0,0,0,0,0,0,0,0.000302351,0.000302351,0.000302351
2,181.389,1.75862,2.25647,1.13,0,0,0,0,0,0,0,0.000599358,0.000599358,0.000599358
3,271.796,1.7095,1.91559,1.12057,0,0,0,0,0,0,0,0.000890366,0.000890366,0.000890366
4,358.255,1.64927,1.61733,1.07455,0,0,0,0,0,0,0,0.000882003,0.000882003,0.000882003
5,437.271,1.55163,1.46867,1.06123,0,0,0,0,0,0,0,0.000873004,0.000873004,0.000873004
6,575.517,1.56366,1.34456,1.06862,0,0,0,0,0,0,0,0.000864004,0.000864004,0.000864004
7,737.515,1.50309,1.2441,1.05868,0,0,0,0,0,0,0,0.000855005,0.000855005,0.000855005
8,885.207,1.51792,1.12879,1.06824,0,0,0,0,0,0,0,0.000846006,0.000846006,0.000846006
9,1031.47,1.46786,1.07601,1.03836,0,0,0,0,0,0,0,0.000837007,0.000837007,0.000837007
10,1172.16,1.48865,1.02494,1.04668,0,0,0,0,0,0,0,0.000828008,0.000828008,0.000828008
11,1314.21,1.43378,0.97116,1.03175,0,0,0,0,0,0,0,0.000819009,0.000819009,0.000819009
12,1453.99,1.4118,0.94149,1.02593,0,0,0,0,0,0,0,0.00081001,0.00081001,0.00081001
13,1594.01,1.45186,0.93381,1.03192,0,0,0,0,0,0,0,0.000801011,0.000801011,0.000801011
14,1738.56,1.43566,0.90279,1.04228,0,0,0,0,0,0,0,0.000792012,0.000792012,0.000792012
15,1883.21,1.43197,0.88401,1.02157,0,0,0,0,0,0,0,0.000783013,0.000783013,0.000783013
16,2028.71,1.42164,0.87413,1.04728,0,0,0,0,0,0,0,0.000774013,0.000774013,0.000774013
17,2172.98,1.3943,0.84343,1.04813,0,0,0,0,0,0,0,0.000765014,0.000765014,0.000765014
18,2322,1.40527,0.82804,1.02245,0,0,0,0,0,0,0,0.000756015,0.000756015,0.000756015
19,2470.03,1.37992,0.80491,1.01471,0,0,0,0,0,0,0,0.000747016,0.000747016,0.000747016
20,2614.93,1.36101,0.7952,1.0154,0,0,0,0,0,0,0,0.000738017,0.000738017,0.000738017
21,2769.29,1.35729,0.78945,1.01468,0,0,0,0,0,0,0,0.000729018,0.000729018,0.000729018
22,2935.95,1.34701,0.77268,1.03522,0,0,0,0,0,0,0,0.000720019,0.000720019,0.000720019
23,3104.12,1.33217,0.76331,0.99939,0,0,0,0,0,0,0,0.00071102,0.00071102,0.00071102
24,3269.34,1.32589,0.74646,1.00916,0,0,0,0,0,0,0,0.000702021,0.000702021,0.000702021
25,3437.95,1.31594,0.72979,1.00374,0,0,0,0,0,0,0,0.000693022,0.000693022,0.000693022
26,3605.88,1.33953,0.73122,0.99739,0,0,0,0,0,0,0,0.000684022,0.000684022,0.000684022
27,3786.34,1.32545,0.72427,1.0105,0,0,0,0,0,0,0,0.000675023,0.000675023,0.000675023
28,3967.51,1.34362,0.73467,1.01218,0,0,0,0,0,0,0,0.000666024,0.000666024,0.000666024
29,4141.62,1.29248,0.72823,0.99476,0,0,0,0,0,0,0,0.000657025,0.000657025,0.000657025
30,4367,1.28543,0.69697,0.99877,0,0,0,0,0,0,0,0.000648026,0.000648026,0.000648026
31,4655.5,1.31404,0.72429,1.01186,0,0,0,0,0,0,0,0.000639027,0.000639027,0.000639027
32,4835.12,1.3277,0.71809,0.99455,0,0,0,0,0,0,0,0.000630028,0.000630028,0.000630028
33,5023.99,1.28667,0.72507,1.00138,0,0,0,0,0,0,0,0.000621029,0.000621029,0.000621029
