epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,5208.04,1.31281,0.72037,1.00166,0,0,0,0,0,0,0,0.00061203,0.00061203,0.00061203
35,5384.05,1.29402,0.72198,1.00452,0,0,0,0,0,0,0,0.000603031,0.000603031,0.000603031
36,5564.96,1.2791,0.7112,0.98989,0,0,0,0,0,0,0,0.000594031,0.000594031,0.000594031
37,5748.12,1.25185,0.68733,0.99469,0,0,0,0,0,0,0,0.000585032,0.000585032,0.000585032
38,5927,1.27797,0.69844,0.99556,0,0,0,0,0,0,0,0.000576033,0.000576033,0.000576033
39,6108.27,1.26083,0.69509,0.97272,0,0,0,0,0,0,0,0.000567034,0.000567034,0.000567034
40,6290.31,1.26044,0.68705,0.98247,0,0,0,0,0,0,0,0.000558035,0.000558035,0.000558035
41,6440.52,1.25608,0.69038,0.98795,0,0,0,0,0,0,0,0.000549036,0.000549036,0.000549036
42,6585.92,1.2595,0.67227,0.99696,0,0,0,0,0,0,0,0.000540037,0.000540037,0.000540037
43,6732.25,1.26283,0.68036,0.98013,0,0,0,0,0,0,0,0.000531038,0.000531038,0.000531038
44,6878.36,1.24985,0.68649,0.97796,0,0,0,0,0,0,0,0.000522039,0.000522039,0.000522039
45,7022.95,1.23894,0.68569,0.97621,0,0,0,0,0,0,0,0.00051304,0.00051304,0.00051304
46,7169.63,1.23783,0.663,0.97841,0,0,0,0,0,0,0,0.00050404,0.00050404,0.00050404
47,7316.77,1.27313,0.67926,0.97427,0,0,0,0,0,0,0,0.000495041,0.000495041,0.000495041
48,7461.62,1.22714,0.66207,0.97896,0,0,0,0,0,0,0,0.000486042,0.000486042,0.000486042
49,7610.84,1.22402,0.66051,0.9721,0,0,0,0,0,0,0,0.000477043,0.000477043,0.000477043
50,7760.77,1.22102,0.67262,0.98075,0,0,0,0,0,0,0,0.000468044,0.000468044,0.000468044
51,7920.03,1.22733,0.66396,0.97573,0,0,0,0,0,0,0,0.000459045,0.000459045,0.000459045
52,8142.04,1.21661,0.67197,0.96082,0,0,0,0,0,0,0,0.000450046,0.000450046,0.000450046
53,8352.06,1.21104,0.65788,0.97306,0,0,0,0,0,0,0,0.000441047,0.000441047,0.000441047
54,8556.85,1.18497,0.64937,0.96751,0,0,0,0,0,0,0,0.000432048,0.000432048,0.000432048
55,8762.94,1.18984,0.64835,0.96159,0,0,0,0,0,0,0,0.000423049,0.000423049,0.000423049
56,8963.74,1.20677,0.65679,0.95751,0,0,0,0,0,0,0,0.000414049,0.000414049,0.000414049
57,9166.14,1.20045,0.6461,0.96944,0,0,0,0,0,0,0,0.00040505,0.00040505,0.00040505
58,9371.29,1.15499,0.63493,0.96114,0,0,0,0,0,0,0,0.000396051,0.000396051,0.000396051
59,9576.5,1.16535,0.63696,0.96047,0,0,0,0,0,0,0,0.000387052,0.000387052,0.000387052
60,9779.68,1.17342,0.635,0.96194,0,0,0,0,0,0,0,0.000378053,0.000378053,0.000378053
61,9981.08,1.2,0.62871,0.96003,0,0,0,0,0,0,0,0.000369054,0.000369054,0.000369054
62,10180.7,1.19011,0.6304,0.9597,0,0,0,0,0,0,0,0.000360055,0.000360055,0.000360055
63,10384,1.16648,0.62726,0.95299,0,0,0,0,0,0,0,0.000351056,0.000351056,0.000351056
64,10585.5,1.1674,0.61557,0.95965,0,0,0,0,0,0,0,0.000342057,0.000342057,0.000342057
65,10788.3,1.16947,0.6271,0.95357,0,0,0,0,0,0,0,0.000333058,0.000333058,0.000333058
66,10925,1.19416,0.64124,0.96786,0,0,0,0,0,0,0,0.000324058,0.000324058,0.000324058
67,11012.2,1.15313,0.61353,0.96069,0,0,0,0,0,0,0,0.000315059,0.000315059,0.000315059
68,11102.9,1.15738,0.62564,0.95606,0,0,0,0,0,0,0,0.00030606,0.00030606,0.00030606
69,11189.6,1.15307,0.62486,0.946,0,0,0,0,0,0,0,0.000297061,0.000297061,0.000297061
70,11283,1.14256,0.61843,0.95849,0,0,0,0,0,0,0,0.000288062,0.000288062,0.000288062
71,11375.5,1.12551,0.6042,0.94647,0,0,0,0,0,0,0,0.000279063,0.000279063,0.000279063
72,11466.4,1.1191,0.61125,0.94639,0,0,0,0,0,0,0,0.000270064,0.000270064,0.000270064
73,11561.1,1.12119,0.59941,0.95189,0,0,0,0,0,0,0,0.000261065,0.000261065,0.000261065
74,11649,1.11595,0.60175,0.94429,0,0,0,0,0,0,0,0.000252066,0.000252066,0.000252066
75,11730.1,1.10321,0.58988,0.93379,0,0,0,0,0,0,0,0.000243067,0.000243067,0.000243067
76,11821.6,1.10609,0.60352,0.95043,0,0,0,0,0,0,0,0.000234068,0.000234068,0.000234068
77,11989.7,1.13589,0.61414,0.94581,0,0,0,0,0,0,0,0.000225068,0.000225068,0.000225068
78,12175.4,1.13328,0.60886,0.94321,0,0,0,0,0,0,0,0.000216069,0.000216069,0.000216069
79,12364.8,1.10805,0.60096,0.93912,0,0,0,0,0,0,0,0.00020707,0.00020707,0.00020707
80,12560.3,1.10302,0.59092,0.93313,0,0,0,0,0,0,0,0.000198071,0.000198071,0.000198071
81,12757.7,1.10416,0.59545,0.93297,0,0,0,0,0,0,0,0.000189072,0.000189072,0.000189072
82,12945.3,1.10655,0.58479,0.94225,0,0,0,0,0,0,0,0.000180073,0.000180073,0.000180073
83,13139.7,1.08706,0.59248,0.93304,0,0,0,0,0,0,0,0.000171074,0.000171074,0.000171074
84,13334.7,1.09635,0.59309,0.932,0,0,0,0,0,0,0,0.000162075,0.000162075,0.000162075
85,13529.1,1.05861,0.58514,0.92731,0,0,0,0,0,0,0,0.000153076,0.000153076,0.000153076
86,13723.1,1.06293,0.58067,0.93664,0,0,0,0,0,0,0,0.000144077,0.000144077,0.000144077
87,13914.1,1.06936,0.57901,0.93995,0,0,0,0,0,0,0,0.000135077,0.000135077,0.000135077
88,14107.5,1.05908,0.5802,0.93164,0,0,0,0,0,0,0,0.000126078,0.000126078,0.000126078
89,14297.5,1.06407,0.58028,0.9288,0,0,0,0,0,0,0,0.000117079,0.000117079,0.000117079
90,14490.2,1.06189,0.57523,0.92905,0,0,0,0,0,0,0,0.00010808,0.00010808,0.00010808
91,14681.3,1.04575,0.56663,0.93639,0,0,0,0,0,0,0,9.9081e-05,9.9081e-05,9.9081e-05
92,14875.1,1.02046,0.55896,0.92862,0,0,0,0,0,0,0,9.00819e-05,9.00819e-05,9.00819e-05
93,15058.9,0.9971,0.54551,0.92343,0,0,0,0,0,0,0,8.10828e-05,8.10828e-05,8.10828e-05
94,15247,0.9923,0.54652,0.9242,0,0,0,0,0,0,0,7.20837e-05,7.20837e-05,7.20837e-05
95,15437.4,0.99403,0.54905,0.92102,0,0,0,0,0,0,0,6.30846e-05,6.30846e-05,6.30846e-05
96,15622.6,0.99373,0.54282,0.9204,0,0,0,0,0,0,0,5.40855e-05,5.40855e-05,5.40855e-05
97,15808.7,0.98483,0.5482,0.92103,0,0,0,0,0,0,0,4.50864e-05,4.50864e-05,4.50864e-05
98,16008.6,0.97924,0.5352,0.92283,0,0,0,0,0,0,0,3.60873e-05,3.60873e-05,3.60873e-05
99,16206.2,0.99716,0.53729,0.92707,0,0,0,0,0,0,0,2.70882e-05,2.70882e-05,2.70882e-05
100,16497.6,0.97266,0.52828,0.91653,0.97404,0.97616,0.98559,0.67575,0.86682,0.46561,0.91341,1.80891e-05,1.80891e-05,1.80891e-05
